rules,lift,support,confidence,count
"{공병/공박스,국산맥주,일반스낵} => {일반소주}",14.07679472,0.001020351,0.635393992,2919
{청주} => {공병/공박스},13.66923264,0.002314404,0.663426854,6621
"{국산맥주,수입맥주} => {공병/공박스}",8.929992685,0.001363964,0.433411085,3902
"{수입맥주,종량제봉투} => {공병/공박스}",8.83358521,0.001333203,0.428732014,3814
{수입맥주} => {공병/공박스},8.67059867,0.008912954,0.420821574,25498
"{감자스낵,공병/공박스} => {국산맥주}",8.352583414,0.001006369,0.450688791,2879
"{공병/공박스,일반스낵} => {국산맥주}",7.910459559,0.001605856,0.426832667,4594
"{감자스낵,옥수수스낵} => {일반스낵}",7.701377636,0.002674096,0.471088121,7650
"{옥수수스낵,크래커} => {일반스낵}",7.655577569,0.001434923,0.468286562,4105
"{옥수수스낵,종량제봉투} => {일반스낵}",7.64836358,0.002118303,0.467845287,6060
"{공병/공박스,종량제봉투} => {국산맥주}",7.600539235,0.002711149,0.410109983,7756
"{옥수수스낵,쿠키} => {일반스낵}",7.339767756,0.001468481,0.448968687,4201
"{국물봉지라면,옥수수스낵} => {일반스낵}",7.074599768,0.001008816,0.432748538,2886
{쌀스낵} => {일반스낵},6.806227376,0.001015807,0.416332378,2906
"{국산맥주,옥수수스낵} => {일반스낵}",6.797712574,0.00100567,0.415811533,2877
{냉장드레싱} => {두부류},5.842706145,0.004107621,0.465128246,11751
"{애호박,콩나물} => {두부류}",5.273340486,0.001111585,0.41980198,3180
"{느타리버섯류,애호박} => {두부류}",5.142132466,0.001076629,0.409356725,3080
